expertise_group,player_index,within_group_index,sensitivity_mode,target_name,block_index,xa,ya,xb,yb,n_fixation,fallback
professional,5,5,default,flg,1,0.8967660533471742,0.9032712549753769,-0.0021303478878321493,0.0042495219935796405,28,0
professional,6,6,habitual,ssw,0,0.9162916534542063,0.9576508661032368,0.0032717018243205386,0.015681485688549338,27,0
professional,6,6,habitual,ssw,1,0.9397782059569647,0.9833774979599323,0.0021358283047869684,0.01639433207374789,29,0
professional,6,6,habitual,fsw,0,0.8906224917383176,0.9922510561472776,0.002062933974112907,0.017015304735834676,27,0
professional,6,6,habitual,fsw,1,0.9167201937045205,0.942266972905463,0.0022892807968500984,0.010623126081661596,29,0
professional,6,6,habitual,slw,0,0.9212058980325044,1.0236807558549397,0.00474857236958124,0.01926059675572013,29,0
professional,6,6,habitual,slw,1,0.9221222230415856,0.9228761156818811,0.000812600229293717,0.00990262573491802,29,0
professional,6,6,habitual,flw,0,0.9256233396222168,0.8981905328586357,0.002468234338408193,0.016131572738782275,28,0
professional,6,6,habitual,flw,1,0.9004042606410675,0.9481039363150914,0.002483892028525607,0.01428326390908706,29,0
professional,6,6,habitual,svsw,0,0.9241249355330785,0.9479234281443959,0.004687852028362669,0.015406049075827304,28,0
professional,6,6,habitual,svsw,1,0.9514632947990544,0.9929245921663261,0.0027701888254270998,0.016303193635835697,28,0
professional,6,6,habitual,ssg,0,0.9080310560199363,0.9480803596316232,0.005389862431677424,0.01769475544290403,29,0
professional,6,6,habitual,ssg,1,0.918752325537354,0.9338668315064387,0.006198727830614716,0.013111362518472449,29,0
professional,6,6,habitual,fsg,0,0.9137556995632481,0.9618827469827538,0.004946362158383384,0.015521957993621292,29,0
professional,6,6,habitual,fsg,1,0.9399170024630608,0.9374196092686945,0.0039265154949443114,0.010885602631697279,25,0
professional,6,6,habitual,slg,0,0.9230274717282243,0.9371735123782214,0.0033185472353114698,0.011413311162857183,29,0
professional,6,6,habitual,slg,1,0.9289488323754971,0.8609560560788443,0.0033121645904809313,0.009501399407135049,28,0
professional,6,6,habitual,flg,0,0.915456882684488,0.9248671809231346,0.0059107943964001215,0.011247194039693546,28,0
professional,6,6,habitual,flg,1,0.9343461925177265,0.8826703344701826,0.003338877744450696,0.010019268714056864,28,0
professional,6,6,default,ssw,0,0.9487194645833713,1.0122759269394253,0.0020369433759870915,0.012563160607334775,29,0
professional,6,6,default,ssw,1,0.9305933595362961,1.0170062698982458,6.013822508136625e-05,0.009454770796511275,29,0
professional,6,6,default,fsw,0,0.9278207696576767,1.002538556959717,0.006359690307636696,0.012605580044230194,29,0
professional,6,6,default,fsw,1,0.9315233515919797,0.852394649352462,0.00036791917516941584,0.009652982094128256,29,0
professional,6,6,default,slw,0,0.9316384739128248,0.9361352644766172,0.003375568069724633,0.012554006951265389,29,0
professional,6,6,default,slw,1,0.9226424788343721,0.9633210819459467,0.0016568204391717222,0.010199324708819643,29,0
professional,6,6,default,flw,0,0.9334675648946108,1.0166397304375383,0.0022381763929838847,0.01196126113283767,26,0
professional,6,6,default,flw,1,0.9306394657998361,0.960568200080307,0.004191358609972268,0.010435321598333278,29,0
professional,6,6,default,svsw,0,0.9663454217435633,0.9923731370790864,0.004460484544244072,0.012637169361819264,29,0
